"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/ptc-therapeutics-announces-initial-data-from-patient-registry-demonstrating-translarna-ataluren-slows-695343131.html,"06 Oct, 2018, 12:30 BST",PTC Therapeutics Announces Initial Data from Patient Registry Demonstrating Translarna™ (ataluren) Slows Disease Progression in Children with Duchenne Caused by a Nonsense Mutation
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/supermicro-refutes-claims-in-bloomberg-article-695316101.html,"06 Oct, 2018, 00:21 BST",Supermicro Refutes Claims in Bloomberg Article
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/mym-announces-resignation-of-ian-ramage-from-board-of-directors-695307571.html,"05 Oct, 2018, 22:47 BST",MYM Announces Resignation of Ian Ramage From Board of Directors
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/raketech-launches-urheiluveikkauscom-as-its-flagship-sports-betting-product-for-finland-695244091.html,"05 Oct, 2018, 13:28 BST",Raketech Launches Urheiluveikkaus.com as its Flagship Sports Betting Product for Finland
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/enghouse-networks-deploys-turnkey-ict-service-assurance-solution-for-cem-macau-695255651.html,"05 Oct, 2018, 12:30 BST",Enghouse Networks Deploys Turnkey ICT Service Assurance Solution for CEM Macau
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/lgc-capitals-leading-australian-medical-cannabis-lp-partner-little-green-pharma-commences-commercial-695255841.html,"05 Oct, 2018, 12:30 BST","LGC Capital's Leading Australian Medical Cannabis LP Partner, Little Green Pharma, Commences Commercial Sales to Patients, Has Its Products Accepted for Major Clinical Trials, Commences Negotiations to Export to Germany and Announces Plans for a New 500,000 Square Foot Site"
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/alligator-bioscience-receives-government-research-grant-695249311.html,"05 Oct, 2018, 10:11 BST",Alligator Bioscience Receives Government Research Grant
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/british-american-tobacco---a-top-employer-in-africa-695248211.html,"05 Oct, 2018, 09:35 BST",British American Tobacco - A Top Employer in Africa
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/ahlstrom-munksjo-wins-3m-supplier-of-the-year-award-695247821.html,"05 Oct, 2018, 09:19 BST",Ahlstrom-Munksjö Wins 3M Supplier of the Year Award
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/bergenbio-enters-second-stage-of-phase-ii-trial-with-selective-axl-inhibitor-bemcentinib-in-combination-695245581.html,"05 Oct, 2018, 08:18 BST",BerGenBio Enters Second Stage of Phase II Trial With Selective AXL Inhibitor bemcentinib in Combination With KEYTRUDA® in Patients With Advanced NSCLC
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/martin-schedin-leaves-invuo-technologies-ab-695244861.html,"05 Oct, 2018, 08:03 BST",Martin Schedin Leaves Invuo Technologies AB
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/vivotek-founding-member-of-the-open-security--safety-alliance-leads-ip-surveillance-to-the-next-level-695181961.html,"04 Oct, 2018, 18:00 BST","VIVOTEK, Founding Member of the Open Security & Safety Alliance, Leads IP Surveillance to the Next Level"
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/gfinity-appointed-tournament-operator-of-inaugural-epremier-league-tournament-695165131.html,"04 Oct, 2018, 15:25 BST",Gfinity Appointed Tournament Operator of Inaugural ePremier League Tournament
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/crypto-corner-malta---the-blockchain-island-stocks-discussed-fineqia-international-inc-cse-fnq-cn-695164421.html,"04 Oct, 2018, 15:16 BST",Crypto Corner: Malta - The 'Blockchain Island'; Stocks discussed: Fineqia International Inc. (CSE: FNQ: CN)
"{'SubNavigationLink': 'NR | News in Focus | Browse News Releases | All Public Company News', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/intangible-assets-power-growth-acquisitions-in-the-pharmaceuticals-sector-695145841.html,"04 Oct, 2018, 13:30 BST","Intangible Assets Power Growth, Acquisitions in the Pharmaceuticals Sector"
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Mutual Funds', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/diamond-empowerment-fund-awards-130000-to-botswana-top-achievers-program-694356141.html,"26 Sep, 2018, 12:30 BST","Diamond Empowerment Fund Awards $130,000 to Botswana Top Achievers Program"
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Mutual Funds', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/oberland-capital-closes-800-million-healthcare-royalty-and-credit-opportunities-fund-at-hard-cap-692583431.html,"06 Sep, 2018, 12:30 BST",Oberland Capital Closes $800 Million Healthcare Royalty and Credit Opportunities Fund at Hard Cap
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Mutual Funds', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/chinas-co-working-unicorn-ucommune-completes-us435mn-funding-led-by-prosperity-holdings-690790351.html,"14 Aug, 2018, 07:12 BST","China's co-working Unicorn ucommune completes US$43.5mn funding, led by Prosperity Holdings"
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Mutual Funds', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/staude-capital-calls-for-orderly-windup-of-blue-capital-alternative-income-fund-680775101.html,"25 Apr, 2018, 08:00 BST",Staude Capital: Calls for Orderly Windup of Blue Capital Alternative Income Fund
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Mutual Funds', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/miax-options-and-t3-index-to-launch-spikes-volatility-index-proprietary-products-to-follow-on-miax-679634573.html,"13 Apr, 2018, 14:52 BST",MIAX Options and T3 Index to Launch SPIKES Volatility Index; Proprietary Products to Follow on MIAX Exchanges
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/lloyds-register-safety-accelerator-announces-four-new-innovation-challenges-and-industry-pilots-for-safetytech-startups-695165251.html,"04 Oct, 2018, 15:27 BST",Lloyd's Register Safety Accelerator Announces Four New Innovation Challenges and Industry Pilots for Safetytech Startups
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/gfinity-appointed-tournament-operator-of-inaugural-epremier-league-tournament-695165131.html,"04 Oct, 2018, 15:25 BST",Gfinity Appointed Tournament Operator of Inaugural ePremier League Tournament
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/department-of-culture-and-tourism---abu-dhabi-and-spark-foundry-partner-with-adara-to-measure-digital-694904321.html,"02 Oct, 2018, 14:00 BST",Department of Culture and Tourism - Abu Dhabi and Spark Foundry partner With ADARA to Measure Digital Marketing Effectiveness
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/promo-partners-with-unsplash-to-expand-its-video-creation-library-694904141.html,"02 Oct, 2018, 14:00 BST",Promo Partners With Unsplash to Expand Its Video Creation Library
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/thoughtonomy-and-digiblu-come-together-to-deliver-first-intelligent-automation-saas-solution-in-africa-694876921.html,"02 Oct, 2018, 06:00 BST",Thoughtonomy and DigiBlu Come Together to Deliver First Intelligent Automation SaaS Solution in Africa
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/micron-and-atp-to-collaborate-on-ddr2-continuity-program-694766761.html,"01 Oct, 2018, 10:00 BST",Micron and ATP to Collaborate on DDR2 Continuity Program
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/arix-bioscience-plc-co-leads-58-million-series-a-investment-round-for-velosbio-694761801.html,"01 Oct, 2018, 07:11 BST",Arix Bioscience plc Co-leads $58 Million Series A Investment Round for VelosBio
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/consorzio-cbi-and-nexi-launch-cbi-globe-694495881.html,"27 Sep, 2018, 14:08 BST",Consorzio CBI and Nexi Launch CBI GLOBE
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/picosun-sinano-collaboration-yields-excellent-tin-process-694362341.html,"26 Sep, 2018, 13:21 BST",Picosun-SINANO Collaboration Yields Excellent TiN Process
"{'SubNavigationLink': 'NR | Business & Money | Financial Services & Investing | Joint Ventures', 'FormSubNavBar': 'true'}",http://www.prnewswire.co.uk/news-releases/crop-secures-thc-license-portfolio-at-new-1000-acre-farm-for-cultivation-extraction-commercial-kitchen-694359091.html,"26 Sep, 2018, 13:00 BST","Crop Secures THC License Portfolio at New 1,000 Acre Farm for Cultivation, Extraction, Commercial Kitchen and Retail"
